date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:02:50	69/69	---MCZ	200	added ('OK')	text/plain	date:Mon,%2028%20Nov%202022%2020:33:16%20GMT	https://templatekit.jegtheme.com/robots.txt		(from )
22:02:50	180973/180973	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2021:02:51%20GMT	https://templatekit.jegtheme.com/pirus/	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/index.html	(from )
22:02:50	4931/4931	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2028%20Nov%202022%2021:02:51%20GMT	https://templatekit.jegtheme.com/pirus/xmlrpc.php	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/xmlrpc.php	(from https://templatekit.jegtheme.com/pirus/)
22:02:50	188443/188443	---M-Z	200	added ('OK')	text/css	etag:%222e01b-5e2a72fe0fbb2;5ee8a1c977f5b-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main.css?ver=2.4.4-dev-1	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main04c6.css	(from https://templatekit.jegtheme.com/pirus/)
22:02:50	83419/83419	---M-Z	200	added ('OK')	text/css	etag:%22145db-5df55d06c37be;5ee8a1c977f5b-gzip%22	https://templatekit.jegtheme.com/pirus/wp-includes/css/dist/block-library/style.min.css?ver=5.9.5	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-includes/css/dist/block-library/style.mind9cd.css	(from https://templatekit.jegtheme.com/pirus/)
22:02:51	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%22aab-5dfccd312fa79;5ee8a1c977f5b-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.6.1	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/plugins/contact-form-7/includes/css/styles04dd.css	(from https://templatekit.jegtheme.com/pirus/)
22:02:51	1111/1111	---M-Z	200	added ('OK')	text/css	etag:%22457-5d0462834f073;5ee8a1c977f5b-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min.css?ver=1.0.21	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min365c.css	(from https://templatekit.jegtheme.com/pirus/)
22:02:51	365637/365637	---M-Z	200	added ('OK')	application/rss+xml	etag:%221a4d8075a7cf5f4fbcef665f135f0277-gzip%22	https://templatekit.jegtheme.com/pirus/feed/	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/feed/index.html	(from https://templatekit.jegtheme.com/pirus/)
22:02:51	122787/122787	---M-Z	200	added ('OK')	text/css	etag:%221dfa3-5ec7653e34573;5ee8cc09b4bcb-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/essential-addons-elementor/cb70d11b8.min.css?ver=1669667578	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/essential-addons-elementor/cb70d11b8.min70ac.css	(from https://templatekit.jegtheme.com/pirus/)
22:02:51	776/776	---M-Z	200	added ('OK')	text/css	etag:%22308-5dff5369b9991;5ee8a1c977f5b-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.11	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementora242.css	(from https://templatekit.jegtheme.com/pirus/)
22:02:52	19128/19128	---M-Z	200	added ('OK')	text/css	etag:%224ab8-5dfcc8fcce61b;5ee8a1c977f5b-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.15.0	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7816.css	(from https://templatekit.jegtheme.com/pirus/)
22:02:52	792/792	---M-Z	200	added ('OK')	application/rss+xml	etag:%228b4e355157e2b0aa251428964dd0e7d9-gzip%22	https://templatekit.jegtheme.com/pirus/comments/feed/	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/comments/feed/index.html	(from https://templatekit.jegtheme.com/pirus/)
22:02:52	699/699	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2028%20Nov%202022%2021:02:53%20GMT	https://templatekit.jegtheme.com/pirus/wp-content/plugins/essential-addons-for-elementor-lite/assets/admin/images/templately/logo-icon.svg	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/plugins/essential-addons-for-elementor-lite/assets/admin/images/templately/logo-icon.svg	(from https://templatekit.jegtheme.com/pirus/)
